player_id,Player,Squad,minutes,appearances,shots_total,shots_on,goals_total,fouls_committed,duels_total,duels_won,pass_total,pass_accurate,key_passes,takeons_total,takeons_won,ball_recoveries,at_actions
Lautaro Martínez|Argentina,Lautaro Martínez,Argentina,55,1,1,1,0,2,1,0,14,12,0,2,0,3,0
Alexis Mac Allister|Argentina,Alexis Mac Allister,Argentina,95,1,2,1,0,2,1,0,64,60,1,0,0,6,1
Rodrigo De Paul|Argentina,Rodrigo De Paul,Argentina,94,1,0,0,0,0,0,0,54,49,1,2,1,7,1
Lisandro Martínez|Argentina,Lisandro Martínez,Argentina,94,1,0,0,0,0,0,0,67,64,0,0,0,3,0
Enzo Fernández|Argentina,Enzo Fernández,Argentina,94,1,0,0,0,1,0,0,67,63,1,2,0,7,0
Cristian Romero|Argentina,Cristian Romero,Argentina,80,1,0,0,0,2,1,1,66,65,0,0,0,2,0
Facundo Medina|Argentina,Facundo Medina,Argentina,93,1,0,0,0,2,0,0,36,35,0,0,0,3,0
Rafik Belghali|Algeria,Rafik Belghali,Algeria,95,1,0,0,0,2,2,2,39,36,1,0,0,3,0
Anis Hadj Moussa|Algeria,Anis Hadj Moussa,Algeria,64,1,1,1,0,0,0,0,22,19,1,5,1,2,0
Nabil Bentaleb|Algeria,Nabil Bentaleb,Algeria,82,1,0,0,0,0,0,0,56,52,0,0,0,2,1
Aïssa Mandi|Algeria,Aïssa Mandi,Algeria,95,1,0,0,0,0,3,1,105,100,1,0,0,3,0
Ramy Bensebaini|Algeria,Ramy Bensebaini,Algeria,95,1,0,0,0,0,0,0,95,89,0,0,0,5,0
Luca Zidane|Algeria,Luca Zidane,Algeria,89,1,0,0,0,0,0,0,39,39,0,0,0,1,0
Emiliano Martínez|Argentina,Emiliano Martínez,Argentina,95,1,0,0,0,0,0,0,41,31,0,0,0,1,0
Gonzalo Montiel|Argentina,Gonzalo Montiel,Argentina,48,1,0,0,0,1,0,0,22,20,0,0,0,0,0
Lionel Messi|Argentina,Lionel Messi,Argentina,80,1,6,4,3,1,0,0,40,31,2,3,0,3,1
Rayan Aït-Nouri|Algeria,Rayan Aït-Nouri,Algeria,96,1,0,0,0,1,0,0,64,54,0,6,3,6,4
Farès Chaïbi|Algeria,Farès Chaïbi,Algeria,95,1,3,0,0,1,0,0,51,44,1,2,1,1,1
Ibrahim Maza|Algeria,Ibrahim Maza,Algeria,81,1,1,1,0,0,1,1,47,40,0,5,2,2,0
Thiago Almada|Argentina,Thiago Almada,Argentina,55,1,1,0,0,0,2,1,35,30,0,0,0,4,0
Hicham Boudaoui|Algeria,Hicham Boudaoui,Algeria,64,1,0,0,0,2,0,0,23,22,1,2,1,4,1
Amine Gouiri|Algeria,Amine Gouiri,Algeria,64,1,0,0,0,1,1,0,18,16,0,1,0,1,0
Nahuel Molina|Argentina,Nahuel Molina,Argentina,96,1,0,0,0,0,0,0,29,19,1,1,1,4,0
Nico González|Argentina,Nico González,Argentina,93,1,0,0,0,0,1,1,14,11,1,1,0,1,0
Julián Alvarez|Argentina,Julián Alvarez,Argentina,95,1,0,0,0,1,2,0,10,8,0,0,0,2,2
Houssem Aouar|Algeria,Houssem Aouar,Algeria,93,1,1,0,0,0,0,0,21,21,0,1,0,3,0
Mohammed Amoura|Algeria,Mohammed Amoura,Algeria,96,1,0,0,0,1,0,0,7,7,1,0,0,0,0
Riyad Mahrez|Algeria,Riyad Mahrez,Algeria,91,1,1,1,0,0,0,0,21,17,0,0,0,2,1
Nico Paz|Argentina,Nico Paz,Argentina,95,1,0,0,0,1,0,0,4,4,0,0,0,2,0
Nicolás Otamendi|Argentina,Nicolás Otamendi,Argentina,96,1,0,0,0,0,0,0,16,13,0,0,0,1,0
Adil Boulbina|Algeria,Adil Boulbina,Algeria,95,1,0,0,0,0,0,0,11,11,0,3,0,1,0
Ramiz Zerrouki|Algeria,Ramiz Zerrouki,Algeria,95,1,0,0,0,0,1,1,20,18,0,0,0,1,0
Mohamed Touré|Australia,Mohamed Touré,Australia,74,1,1,0,0,2,2,0,3,3,1,4,2,1,0
Harry Souttar|Australia,Harry Souttar,Australia,95,1,1,1,0,1,4,3,23,14,0,1,1,0,0
Abdülkerim Bardakci|Turkiye,Abdülkerim Bardakci,Turkiye,96,1,1,1,0,0,10,4,98,91,0,1,1,4,0
Connor Metcalfe|Australia,Connor Metcalfe,Australia,96,1,1,1,1,0,6,2,20,10,1,1,1,4,1
Aiden O'Neill|Australia,Aiden O'Neill,Australia,94,1,0,0,0,1,0,0,35,29,1,1,1,4,0
Ferdi Kadioglu|Turkiye,Ferdi Kadioglu,Turkiye,96,1,1,0,0,0,3,2,116,103,5,0,0,6,1
Jacob Italiano|Australia,Jacob Italiano,Australia,74,1,1,0,0,0,1,0,20,15,1,0,0,0,0
Orkun Kökçü|Turkiye,Orkun Kökçü,Turkiye,62,1,1,0,0,0,0,0,41,30,3,1,0,2,2
Hakan Çalhanoglu|Turkiye,Hakan Çalhanoglu,Turkiye,95,1,5,4,0,1,1,0,109,94,4,0,0,7,0
Arda Güler|Turkiye,Arda Güler,Turkiye,95,1,8,4,0,0,2,1,80,71,2,5,1,3,2
Merih Demiral|Turkiye,Merih Demiral,Turkiye,95,1,1,0,0,0,7,5,62,57,1,1,0,0,0
Ismail Yüksek|Turkiye,Ismail Yüksek,Turkiye,81,1,3,2,0,1,2,2,58,55,0,1,1,2,2
Ugurcan Çakir|Turkiye,Ugurcan Çakir,Turkiye,88,1,0,0,0,0,0,0,24,22,0,0,0,1,0
Baris Alper Yilmaz|Turkiye,Baris Alper Yilmaz,Turkiye,48,1,0,0,0,0,0,0,24,12,0,2,0,0,0
Alessandro Circati|Australia,Alessandro Circati,Australia,93,1,1,0,0,1,2,1,33,25,0,1,1,3,0
Paul Okon-Engstler|Australia,Paul Okon-Engstler,Australia,84,1,0,0,0,1,2,1,38,30,1,1,0,3,0
Nestory Irankunda|Australia,Nestory Irankunda,Australia,61,1,2,2,1,1,2,0,7,5,0,1,1,1,0
Zeki Çelik|Turkiye,Zeki Çelik,Turkiye,81,1,1,1,0,1,3,2,36,33,0,0,0,4,2
Patrick Beach|Australia,Patrick Beach,Australia,96,1,0,0,0,0,0,0,41,20,0,0,0,1,0
Cameron Burgess|Australia,Cameron Burgess,Australia,92,1,0,0,0,0,2,2,41,37,0,0,0,1,1
